Report Builder

"Principal Place of Performance State Code","Is Vendor Business Type - Economically Disadvantaged Women Owned Small Business","Is Vendor Business Type - Women Owned Small Business","NAICS Code","NAICS Description","Base and All Options Value (Total Contract Value)"
"NM","NO","NO","532112","PASSENGER CAR LEASING","$132,315.27"
"NM","NO","NO","532120","TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING","$330,338.00"
"NM","NO","NO","532291","HOME HEALTH EQUIPMENT RENTAL","$448,264.22"
"NM","NO","NO","532310","GENERAL RENTAL CENTERS","$63,370.00"
"NM","NO","NO","532411","COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING","$1,848.00"
"NM","NO","NO","532412","CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING","$601,276.00"
"NM","NO","NO","532420","OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING","$917,297.55"
"NM","NO","NO","532490","OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING","$1,015,904.66"
"NM","NO","NO","541110","OFFICES OF LAWYERS","$96,230.00"
"NM","NO","NO","541199","ALL OTHER LEGAL SERVICES","$43,558.92"
"NM","NO","NO","541211","OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS","$215,059.51"
"NM","NO","NO","541219","OTHER ACCOUNTING SERVICES","$1,117,206.62"
"NM","NO","NO","541310","ARCHITECTURAL SERVICES","$3,295,582.72"
"NM","NO","NO","541330","ENGINEERING SERVICES","$48,643,724.04"
"NM","NO","NO","541350","BUILDING INSPECTION SERVICES","$90,725.44"
"NM","NO","NO","541360","GEOPHYSICAL SURVEYING AND MAPPING SERVICES","$34,727.90"
"NM","NO","NO","541370","SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES","$1,964,050.16"
"NM","NO","NO","541380","TESTING LABORATORIES","$2,933,232.67"
"NM","NO","NO","541410","INTERIOR DESIGN SERVICES","$187,755.08"
"NM","NO","NO","541430","GRAPHIC DESIGN SERVICES","$30,807.10"
"NM","NO","NO","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","$6,183,093.79"
"NM","NO","NO","541512","COMPUTER SYSTEMS DESIGN SERVICES","$25,476,932.75"
"NM","NO","NO","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","$20,067,470.18"
"NM","NO","NO","541519","OTHER COMPUTER RELATED SERVICES","$58,829,908.99"
"NM","NO","NO","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","$30,690,514.28"
"NM","NO","NO","541612","HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)","$160,000.00"
"NM","NO","NO","541613","MARKETING CONSULTING SERVICES","$0.00"
"NM","NO","NO","541614","PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","$0.00"
"NM","NO","NO","541618","OTHER MANAGEMENT CONSULTING SERVICES","$938,529.02"
"NM","NO","NO","541620","ENVIRONMENTAL CONSULTING SERVICES","$13,524,882.20"
"NM","NO","NO","541690","OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES","$6,191,121.71"
"NM","NO","NO","541710","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES","$54,019,708.86"
"NM","NO","NO","541711","RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY","$54,988.60"
"NM","NO","NO","541712","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","$91,804,357.86"
"NM","NO","NO","541713","RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY","$0.00"
"NM","NO","NO","541714","RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY)","$1,331,302.55"
"NM","NO","NO","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$139,035,482.95"
"NM","NO","NO","541720","RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES","$2,034,347.65"
"NM","NO","NO","541810","ADVERTISING AGENCIES","$15,142.18"
"NM","NO","NO","541820","PUBLIC RELATIONS AGENCIES","$398,149.06"
"NM","NO","NO","541850","OUTDOOR ADVERTISING","$48,990.00"
"NM","NO","NO","541890","OTHER SERVICES RELATED TO ADVERTISING","$18,055.00"
"NM","NO","NO","541910","MARKETING RESEARCH AND PUBLIC OPINION POLLING","$322,783.77"
"NM","NO","NO","541922","COMMERCIAL PHOTOGRAPHY","$2,249.96"
"NM","NO","NO","541930","TRANSLATION AND INTERPRETATION SERVICES","$2,348.32"
"NM","NO","NO","541940","VETERINARY SERVICES","$1,578,389.00"
"NM","NO","NO","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","$55,450,554.86"
"NM","NO","NO","561110","OFFICE ADMINISTRATIVE SERVICES","$7,513,664.81"
"NM","NO","NO","561210","FACILITIES SUPPORT SERVICES","$10,578,648,546.57"
"NM","NO","NO","561320","TEMPORARY HELP SERVICES","$126,324,696.56"
"NM","NO","NO","561410","DOCUMENT PREPARATION SERVICES","$1,336,921.69"
"NM","NO","NO","561421","TELEPHONE ANSWERING SERVICES","$0.00"
"NM","NO","NO","561422","TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS","$2,444,656.02"
"NM","NO","NO","561499","ALL OTHER BUSINESS SUPPORT SERVICES","$825,963.64"
"NM","NO","NO","561611","INVESTIGATION SERVICES","$127,233.67"
"NM","NO","NO","561612","SECURITY GUARDS AND PATROL SERVICES","$17,928,266.59"
"NM","NO","NO","561621","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","$2,453,650.52"
"NM","NO","NO","561622","LOCKSMITHS","$82,827.34"
"NM","NO","NO","561710","EXTERMINATING AND PEST CONTROL SERVICES","$313,048.17"
"NM","NO","NO","561720","JANITORIAL SERVICES","$34,086,439.12"
"NM","NO","NO","561730","LANDSCAPING SERVICES","$5,994,896.88"
"NM","NO","NO","561790","OTHER SERVICES TO BUILDINGS AND DWELLINGS","$4,275,793.68"
"NM","NO","NO","561990","ALL OTHER SUPPORT SERVICES","$4,026,015.63"
"NM","NO","NO","562111","SOLID WASTE COLLECTION","$1,038,704.20"
"NM","NO","NO","562112","HAZARDOUS WASTE COLLECTION","$735,573.43"
"NM","NO","NO","562119","OTHER WASTE COLLECTION","$217,410.90"
"NM","NO","NO","562211","HAZARDOUS WASTE TREATMENT AND DISPOSAL","$870,526.20"
"NM","NO","NO","562910","REMEDIATION SERVICES","$70,468,364.93"
"NM","NO","NO","562991","SEPTIC TANK AND RELATED SERVICES","$460,287.24"
"NM","NO","NO","562998","ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES","$269,036.47"
"NM","NO","NO","611110","ELEMENTARY AND SECONDARY SCHOOLS","$267,454.53"
"NM","NO","NO","611310","COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS","$7,417,814.78"
"NM","NO","NO","611420","COMPUTER TRAINING","$84,839.22"
"NM","NO","NO","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","$28,561,328.86"
"NM","NO","NO","611519","OTHER TECHNICAL AND TRADE SCHOOLS","$63,489,301.75"
"NM","NO","NO","611691","EXAM PREPARATION AND TUTORING","$25,000.00"
"NM","NO","NO","611699","ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION","$14,887.00"
"NM","NO","NO","611710","EDUCATIONAL SUPPORT SERVICES","$28,994,921.08"
"NM","NO","NO","621111","OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)","$9,980,225.39"
"NM","NO","NO","621112","OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS","$75,157.50"
"NM","NO","NO","621210","OFFICES OF DENTISTS","$73,150.00"
"NM","NO","NO","621330","OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS)","$126,810.11"
"NM","NO","NO","621340","OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS","$215,604.93"
"NM","NO","NO","621399","OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS","$1,384,879.95"
"NM","NO","NO","621498","ALL OTHER OUTPATIENT CARE CENTERS","$44,944,448.45"
"NM","NO","NO","621511","MEDICAL LABORATORIES","$5,428,609.72"
"NM","NO","NO","621512","DIAGNOSTIC IMAGING CENTERS","$1,746,702.60"
"NM","NO","NO","621610","HOME HEALTH CARE SERVICES","$86,217.95"
"NM","NO","NO","621910","AMBULANCE SERVICES","$13,305,160.49"
"NM","NO","NO","621991","BLOOD AND ORGAN BANKS","$333,227.04"
"NM","NO","NO","621999","ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES","$1,675,089.94"
"NM","NO","NO","622110","GENERAL MEDICAL AND SURGICAL HOSPITALS","$1,659,604.27"
"NM","NO","NO","623110","NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)","$18,334,263.91"
"NM","NO","NO","623220","RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES","$19,002.00"
"NM","NO","NO","624190","OTHER INDIVIDUAL AND FAMILY SERVICES","$495,546.18"
"NM","NO","NO","624230","EMERGENCY AND OTHER RELIEF SERVICES","$438,960.41"
"NM","NO","NO","711130","MUSICAL GROUPS AND ARTISTS","$136,604.00"
"NM","NO","NO","711219","OTHER SPECTATOR SPORTS","$406,557.00"
"NM","NO","NO","712110","MUSEUMS","$2,187,680.50"
"NM","NO","NO","712120","HISTORICAL SITES","$10,000.00"
"NM","NO","NO","713990","ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES","$0.00"
"NM","NO","NO","721110","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","$550,693.83"
"NM","NO","NO","721211","RV (RECREATIONAL VEHICLE) PARKS AND CAMPGROUNDS","$191,966.11"
"NM","NO","NO","721214","RECREATIONAL AND VACATION CAMPS (EXCEPT CAMPGROUNDS)","$742,286.00"
"NM","NO","NO","722310","FOOD SERVICE CONTRACTORS","$18,441,619.46"
"NM","NO","NO","722320","CATERERS","$54,693.36"
"NM","NO","NO","722511","FULL-SERVICE RESTAURANTS","$8,060.00"
"NM","NO","NO","811111","GENERAL AUTOMOTIVE REPAIR","$2,138,134.18"
"NM","NO","NO","811112","AUTOMOTIVE EXHAUST SYSTEM REPAIR","$27,450.00"
"NM","NO","NO","811121","AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE","$215,495.55"
"NM","NO","NO","811198","ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE","$29,363.03"
"NM","NO","NO","811211","CONSUMER ELECTRONICS REPAIR AND MAINTENANCE","$49,141.43"
"NM","NO","NO","811212","COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE","$957,816.75"
"NM","NO","NO","811213","COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE","$131,794.55"
"NM","NO","NO","811219","OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE","$4,215,338.27"
"NM","NO","NO","811310","COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE","$670,428.19"
"NM","NO","NO","811412","APPLIANCE REPAIR AND MAINTENANCE","$14,190.00"
"NM","NO","NO","811420","REUPHOLSTERY AND FURNITURE REPAIR","$28,579.28"
"NM","NO","NO","812210","FUNERAL HOMES AND FUNERAL SERVICES","$20,830.31"
"NM","NO","NO","812320","DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)","$2,314,390.11"
"NM","NO","NO","812331","LINEN SUPPLY","$1,614.78"
"NM","NO","NO","812332","INDUSTRIAL LAUNDERERS","$284,770.79"
"NM","NO","NO","812910","PET CARE (EXCEPT VETERINARY) SERVICES","$379,279.83"
"NM","NO","NO","812930","PARKING LOTS AND GARAGES","$245,891.00"
"NM","NO","NO","813110","RELIGIOUS ORGANIZATIONS","$426,501.00"
"NM","NO","NO","813311","HUMAN RIGHTS ORGANIZATIONS","$435,320.00"
"NM","NO","NO","813312","ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS","$7,230.03"
"NM","NO","NO","813910","BUSINESS ASSOCIATIONS","$25,000.00"
"NM","NO","NO","813920","PROFESSIONAL ORGANIZATIONS","$221,784.35"
"NM","NO","NO","813930","LABOR UNIONS AND SIMILAR LABOR ORGANIZATIONS","$11,923.00"
"NM","NO","NO","921110","EXECUTIVE OFFICES","$0.00"
"NM","NO","NO","922120","POLICE PROTECTION","$903,798.47"
"NM","NO","NO","922140","CORRECTIONAL INSTITUTIONS","$60,000.00"
"NM","NO","NO","922160","FIRE PROTECTION","$10,825.00"
"NM","NO","NO","923120","ADMINISTRATION OF PUBLIC HEALTH PROGRAMS","$922,080.24"
"NM","NO","NO","924110","ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS","$6,864.00"
"NM","NO","NO","925120","ADMINISTRATION OF URBAN PLANNING AND COMMUNITY AND RURAL DEVELOPMENT","$0.00"
"NM","NO","NO","926110","ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS","$0.00"
"NM","NO","YES","111940","HAY FARMING","$420,000.00"
"NM","NO","YES","115310","SUPPORT ACTIVITIES FOR FORESTRY","$9,698,384.20"
"NM","NO","YES","221310","WATER SUPPLY AND IRRIGATION SYSTEMS","$106,972.20"
"NM","NO","YES","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$479,159.56"
"NM","NO","YES","237110","WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION","$562.83"
"NM","NO","YES","237310","HIGHWAY, STREET, AND BRIDGE CONSTRUCTION","$240,120.00"
"NM","NO","YES","237990","OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION","$20,765.19"
"NM","NO","YES","238160","ROOFING CONTRACTORS","$334,467.18"
"NM","NO","YES","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","$965,905.17"
"NM","NO","YES","238220","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS","$580,965.68"
"NM","NO","YES","238330","FLOORING CONTRACTORS","$193,477.09"
"NM","NO","YES","238990","ALL OTHER SPECIALTY TRADE CONTRACTORS","$411,602.75"
"NM","NO","YES","314110","CARPET AND RUG MILLS","$62,970.25"
"NM","NO","YES","314910","TEXTILE BAG AND CANVAS MILLS","$22,956.96"
"NM","NO","YES","314999","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS","$23,256.00"
"NM","NO","YES","315999","OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING","$24,998.00"
"NM","NO","YES","316998","ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING","$13,999.40"
"NM","NO","YES","324110","PETROLEUM REFINERIES","$776,363.00"
"NM","NO","YES","325413","IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING","$52,000.00"
"NM","NO","YES","325998","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING","$100,797.62"
"NM","NO","YES","332311","PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING","$23,504.00"
"NM","NO","YES","332439","OTHER METAL CONTAINER MANUFACTURING","$35,293.00"
"NM","NO","YES","332510","HARDWARE MANUFACTURING","$106,993.06"
"NM","NO","YES","332811","METAL HEAT TREATING","$36,023.14"
"NM","NO","YES","332919","OTHER METAL VALVE AND PIPE FITTING MANUFACTURING","$26,350.00"
"NM","NO","YES","332999","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING","$93,774.00"
"NM","NO","YES","333316","PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING","$684,063.01"
"NM","NO","YES","333318","OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING","$23,145.78"
"NM","NO","YES","333413","INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING","$32,061.45"
"NM","NO","YES","333912","AIR AND GAS COMPRESSOR MANUFACTURING","$33,125.20"
"NM","NO","YES","333914","MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING","$13,694.45"
"NM","NO","YES","334111","ELECTRONIC COMPUTER MANUFACTURING","$1,984,769.76"
"NM","NO","YES","334112","COMPUTER STORAGE DEVICE MANUFACTURING","$10,000.00"
"NM","NO","YES","334118","COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING","$113,506.26"
"NM","NO","YES","334210","TELEPHONE APPARATUS MANUFACTURING","$2,331,332.93"
"NM","NO","YES","334220","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","$198,600.14"
"NM","NO","YES","334290","OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING","$15,442.50"
"NM","NO","YES","334310","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","$34,133.50"
"NM","NO","YES","334418","PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING","$140,625.00"
"NM","NO","YES","334513","INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES","$0.00"
"NM","NO","YES","334516","ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING","$31,000.00"
"NM","NO","YES","334519","OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING","$40,675.00"
"NM","NO","YES","335122","COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING","$50,000.00"
"NM","NO","YES","335210","SMALL ELECTRICAL APPLIANCE MANUFACTURING","$33,750.00"
"NM","NO","YES","335220","MAJOR HOUSEHOLD APPLIANCE MANUFACTURING","$92,830.00"
"NM","NO","YES","335312","MOTOR AND GENERATOR MANUFACTURING","$388,268.00"
"NM","NO","YES","335921","FIBER OPTIC CABLE MANUFACTURING","$149,187.15"
"NM","NO","YES","335999","ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING","$38,021.50"
"NM","NO","YES","336112","LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING","$16,401.00"
"NM","NO","YES","336120","HEAVY DUTY TRUCK MANUFACTURING","$40,658.00"
"NM","NO","YES","336211","MOTOR VEHICLE BODY MANUFACTURING","$135,045.00"
"NM","NO","YES","336212","TRUCK TRAILER MANUFACTURING","$20,305.00"
"NM","NO","YES","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","$99,491.20"
"NM","NO","YES","336999","ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING","$49,564.22"
"NM","NO","YES","337211","WOOD OFFICE FURNITURE MANUFACTURING","$82,376.66"
"NM","NO","YES","337214","OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING","$595,259.42"
"NM","NO","YES","339112","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING","$10,000.00"
"NM","NO","YES","339113","SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING","$490,903.12"
"NM","NO","YES","339940","OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING","$64,207.00"
"NM","NO","YES","339950","SIGN MANUFACTURING","$224,368.99"
"NM","NO","YES","423840","INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS","$2,478.00"
"NM","NO","YES","441310","AUTOMOTIVE PARTS AND ACCESSORIES STORES","$152,903.47"
"NM","NO","YES","444130","HARDWARE STORES","$89,297.99"
"NM","NO","YES","481211","NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION","$2,400.00"
"NM","NO","YES","484122","GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD","$0.00"
"NM","NO","YES","484210","USED HOUSEHOLD AND OFFICE GOODS MOVING","$0.00"
"NM","NO","YES","485999","ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION","$534,101.63"
"NM","NO","YES","488190","OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION","$5,124,789.28"
"NM","NO","YES","492110","COURIERS AND EXPRESS DELIVERY SERVICES","$0.00"
"NM","NO","YES","493120","REFRIGERATED WAREHOUSING AND STORAGE","$21,605.00"
"NM","NO","YES","511130","BOOK PUBLISHERS","$45,000.00"
"NM","NO","YES","511210","SOFTWARE PUBLISHERS","$28,742.48"
"NM","NO","YES","512110","MOTION PICTURE AND VIDEO PRODUCTION","$72,655.00"
"NM","NO","YES","517311","WIRED TELECOMMUNICATIONS CARRIERS","$0.00"
"NM","NO","YES","531120","LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)","$6,354,428.01"
"NM","NO","YES","532289","ALL OTHER CONSUMER GOODS RENTAL","$0.00"
"NM","NO","YES","532420","OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING","$71,755.09"
"NM","NO","YES","532490","OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING","$5,821.48"
"NM","NO","YES","541199","ALL OTHER LEGAL SERVICES","$189,680.68"
"NM","NO","YES","541310","ARCHITECTURAL SERVICES","$466,392.72"
"NM","NO","YES","541320","LANDSCAPE ARCHITECTURAL SERVICES","$36,000.00"
"NM","NO","YES","541330","ENGINEERING SERVICES","$1,595,558.45"
"NM","NO","YES","541340","DRAFTING SERVICES","$49,984.00"
"NM","NO","YES","541370","SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES","$424,885.40"
"NM","NO","YES","541380","TESTING LABORATORIES","$585,000.00"
"NM","NO","YES","541430","GRAPHIC DESIGN SERVICES","$2,238,903.30"
"NM","NO","YES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","$286,030.62"
"NM","NO","YES","541512","COMPUTER SYSTEMS DESIGN SERVICES","$149,625.00"
"NM","NO","YES","541519","OTHER COMPUTER RELATED SERVICES","$9,881,460.63"
"NM","NO","YES","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","$41,748.83"
"NM","NO","YES","541618","OTHER MANAGEMENT CONSULTING SERVICES","$20,000.00"
"NM","NO","YES","541620","ENVIRONMENTAL CONSULTING SERVICES","$328,101.15"
"NM","NO","YES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$4,393,281.84"
"NM","NO","YES","541720","RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES","$87,142.64"
"NM","NO","YES","541810","ADVERTISING AGENCIES","$0.00"
"NM","NO","YES","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","$106,676.22"
"NM","NO","YES","561210","FACILITIES SUPPORT SERVICES","$502,965.16"
"NM","NO","YES","561320","TEMPORARY HELP SERVICES","$20,792,932.67"
"NM","NO","YES","561499","ALL OTHER BUSINESS SUPPORT SERVICES","$8,137.40"
"NM","NO","YES","561621","SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS)","$92,426.00"
"NM","NO","YES","561710","EXTERMINATING AND PEST CONTROL SERVICES","$153,772.30"
"NM","NO","YES","561720","JANITORIAL SERVICES","$178,315.29"
"NM","NO","YES","561730","LANDSCAPING SERVICES","$184,610.60"
"NM","NO","YES","562111","SOLID WASTE COLLECTION","$16,804.56"
"NM","NO","YES","562119","OTHER WASTE COLLECTION","$0.00"
"NM","NO","YES","562910","REMEDIATION SERVICES","$8,367,737.51"
"NM","NO","YES","562991","SEPTIC TANK AND RELATED SERVICES","$173,125.06"
"NM","NO","YES","562998","ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES","$83,000.00"
"NM","NO","YES","611420","COMPUTER TRAINING","$392,661.62"
"NM","NO","YES","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","$829,034.99"
"NM","NO","YES","611710","EDUCATIONAL SUPPORT SERVICES","$1,336,315.04"
"NM","NO","YES","621111","OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)","$2,113,046.90"
"NM","NO","YES","621340","OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS","$380,753.60"
"NM","NO","YES","621399","OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS","$136,032.00"
"NM","NO","YES","621910","AMBULANCE SERVICES","$112,596.91"
"NM","NO","YES","622110","GENERAL MEDICAL AND SURGICAL HOSPITALS","$0.00"
"NM","NO","YES","623990","OTHER RESIDENTIAL CARE FACILITIES","$430,080.00"
"NM","NO","YES","624190","OTHER INDIVIDUAL AND FAMILY SERVICES","$52,717.76"
"NM","NO","YES","712110","MUSEUMS","$0.00"
"NM","NO","YES","721110","HOTELS (EXCEPT CASINO HOTELS) AND MOTELS","$5,886.07"
"NM","NO","YES","721199","ALL OTHER TRAVELER ACCOMMODATION","$207,954.00"
"NM","NO","YES","722310","FOOD SERVICE CONTRACTORS","$108,223.28"
"NM","NO","YES","811111","GENERAL AUTOMOTIVE REPAIR","$156,117.12"
"NM","NO","YES","811121","AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE","$49,342.36"
"NM","NO","YES","811212","COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE","$58,481.71"
"NM","NO","YES","811213","COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE","$18,595.92"
"NM","NO","YES","811310","COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE","$103,404.53"
"NM","NO","YES","812320","DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)","$166,345.50"
"NM","YES","YES","115310","SUPPORT ACTIVITIES FOR FORESTRY","$2,532,247.42"
"NM","YES","YES","213113","SUPPORT ACTIVITIES FOR COAL MINING","$9,245.15"
"NM","YES","YES","221310","WATER SUPPLY AND IRRIGATION SYSTEMS","$0.00"
"NM","YES","YES","221320","SEWAGE TREATMENT FACILITIES","$12,033.60"
"NM","YES","YES","236210","INDUSTRIAL BUILDING CONSTRUCTION","$0.00"
"NM","YES","YES","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","$11,009,945.37"
"NM","YES","YES","237110","WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION","$192,525.48"
"NM","YES","YES","237120","OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION","$952,275.84"
"NM","YES","YES","237130","POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION","$110,117.34"
"NM","YES","YES","237310","HIGHWAY, STREET, AND BRIDGE CONSTRUCTION","$1,304,396.67"
"NM","YES","YES","238150","GLASS AND GLAZING CONTRACTORS","$0.00"
"NM","YES","YES","238160","ROOFING CONTRACTORS","$200,830.00"
"NM","YES","YES","238210","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS","$5,445,474.34"
